pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
21.0006,2.4945e-05,2.4032e-05,2.7406e-05,2.7208e-05,2.6743e-05,2.8820e-05,2.7262e-05,2.7836e-05,2.7284e-05,2.6415e-05,2.4946e-05,2.8838e-05,2.6982e-05,2.7285e-05,2.8696e-05,3.0392e-05,3.1043e-05,3.1747e-05,3.5294e-05,3.5074e-05,3.1625e-05,3.2531e-05,2.9353e-05,2.9577e-05,2.8734e-05,2.5896e-05,2.8477e-05,2.7981e-05,3.0335e-05,2.9776e-05,2.8565e-05,2.9213e-05,2.6344e-05,2.6800e-05,2.8881e-05,2.7769e-05,2.8088e-05
21.2935,2.5017e-05,2.4109e-05,2.7437e-05,2.7319e-05,2.6827e-05,2.8898e-05,2.7355e-05,2.7908e-05,2.7359e-05,2.6542e-05,2.5053e-05,2.8859e-05,2.6980e-05,2.7314e-05,2.8740e-05,3.0378e-05,3.1074e-05,3.1836e-05,3.5283e-05,3.5077e-05,3.1640e-05,3.2525e-05,2.9352e-05,2.9594e-05,2.8775e-05,2.5934e-05,2.8542e-05,2.8063e-05,3.0412e-05,2.9840e-05,2.8692e-05,2.9316e-05,2.6422e-05,2.6912e-05,2.8965e-05,2.7899e-05,2.8197e-05
21.5905,2.5088e-05,2.4187e-05,2.7467e-05,2.7431e-05,2.6912e-05,2.8977e-05,2.7448e-05,2.7979e-05,2.7434e-05,2.6669e-05,2.5160e-05,2.8880e-05,2.6978e-05,2.7345e-05,2.8784e-05,3.0363e-05,3.1105e-05,3.1925e-05,3.5273e-05,3.5081e-05,3.1655e-05,3.2520e-05,2.9351e-05,2.9612e-05,2.8816e-05,2.5973e-05,2.8606e-05,2.8144e-05,3.0490e-05,2.9903e-05,2.8819e-05,2.9418e-05,2.6499e-05,2.7023e-05,2.9050e-05,2.8031e-05,2.8305e-05
21.8917,2.5159e-05,2.4264e-05,2.7499e-05,2.7542e-05,2.6996e-05,2.9055e-05,2.7540e-05,2.8051e-05,2.7509e-05,2.6797e-05,2.5268e-05,2.8901e-05,2.6975e-05,2.7376e-05,2.8829e-05,3.0349e-05,3.1136e-05,3.2014e-05,3.5263e-05,3.5084e-05,3.1670e-05,3.2514e-05,2.9350e-05,2.9630e-05,2.8857e-05,2.6011e-05,2.8670e-05,2.8226e-05,3.0567e-05,2.9967e-05,2.8945e-05,2.9521e-05,2.6577e-05,2.7135e-05,2.9135e-05,2.8162e-05,2.8413e-05
22.1971,2.5230e-05,2.4342e-05,2.7530e-05,2.7654e-05,2.7079e-05,2.9135e-05,2.7633e-05,2.8122e-05,2.7584e-05,2.6925e-05,2.5375e-05,2.8921e-05,2.6973e-05,2.7406e-05,2.8873e-05,3.0335e-05,3.1168e-05,3.2103e-05,3.5253e-05,3.5087e-05,3.1684e-05,3.2509e-05,2.9349e-05,2.9648e-05,2.8898e-05,2.6049e-05,2.8735e-05,2.8308e-05,3.0644e-05,3.0031e-05,2.9072e-05,2.9622e-05,2.6654e-05,2.7247e-05,2.9219e-05,2.8294e-05,2.8520e-05
22.5067,2.5302e-05,2.4419e-05,2.7561e-05,2.7765e-05,2.7163e-05,2.9213e-05,2.7726e-05,2.8194e-05,2.7659e-05,2.7051e-05,2.5482e-05,2.8943e-05,2.6970e-05,2.7437e-05,2.8916e-05,3.0320e-05,3.1199e-05,3.2193e-05,3.5243e-05,3.5091e-05,3.1699e-05,3.2503e-05,2.9348e-05,2.9665e-05,2.8939e-05,2.6087e-05,2.8799e-05,2.8390e-05,3.0722e-05,3.0095e-05,2.9200e-05,2.9725e-05,2.6733e-05,2.7359e-05,2.9303e-05,2.8424e-05,2.8628e-05
22.8206,2.5373e-05,2.4496e-05,2.7591e-05,2.7877e-05,2.7248e-05,2.9292e-05,2.7818e-05,2.8266e-05,2.7734e-05,2.7179e-05,2.5589e-05,2.8963e-05,2.6968e-05,2.7467e-05,2.8960e-05,3.0306e-05,3.1230e-05,3.2282e-05,3.5233e-05,3.5095e-05,3.1713e-05,3.2497e-05,2.9346e-05,2.9683e-05,2.8980e-05,2.6125e-05,2.8864e-05,2.8472e-05,3.0799e-05,3.0159e-05,2.9327e-05,2.9828e-05,2.6810e-05,2.7471e-05,2.9387e-05,2.8556e-05,2.8737e-05
23.139,2.5445e-05,2.4574e-05,2.7623e-05,2.7988e-05,2.7332e-05,2.9372e-05,2.7911e-05,2.8337e-05,2.7810e-05,2.7306e-05,2.5697e-05,2.8985e-05,2.6966e-05,2.7497e-05,2.9004e-05,3.0291e-05,3.1261e-05,3.2370e-05,3.5223e-05,3.5097e-05,3.1728e-05,3.2492e-05,2.9345e-05,2.9701e-05,2.9021e-05,2.6164e-05,2.8929e-05,2.8553e-05,3.0876e-05,3.0222e-05,2.9454e-05,2.9930e-05,2.6887e-05,2.7584e-05,2.9472e-05,2.8687e-05,2.8845e-05
23.4617,2.5516e-05,2.4651e-05,2.7654e-05,2.8099e-05,2.7416e-05,2.9450e-05,2.8004e-05,2.8409e-05,2.7884e-05,2.7434e-05,2.5804e-05,2.9005e-05,2.6964e-05,2.7528e-05,2.9048e-05,3.0277e-05,3.1292e-05,3.2460e-05,3.5212e-05,3.5101e-05,3.1743e-05,3.2486e-05,2.9344e-05,2.9718e-05,2.9062e-05,2.6202e-05,2.8993e-05,2.8635e-05,3.0953e-05,3.0286e-05,2.9580e-05,3.0033e-05,2.6965e-05,2.7696e-05,2.9557e-05,2.8818e-05,2.8953e-05
23.789,2.5587e-05,2.4729e-05,2.7685e-05,2.8211e-05,2.7501e-05,2.9529e-05,2.8096e-05,2.8481e-05,2.7960e-05,2.7561e-05,2.5911e-05,2.9026e-05,2.6961e-05,2.7559e-05,2.9093e-05,3.0263e-05,3.1324e-05,3.2549e-05,3.5202e-05,3.5105e-05,3.1757e-05,3.2481e-05,2.9343e-05,2.9736e-05,2.9102e-05,2.6240e-05,2.9057e-05,2.8717e-05,3.1031e-05,3.0350e-05,2.9707e-05,3.0135e-05,2.7043e-05,2.7808e-05,2.9641e-05,2.8949e-05,2.9060e-05
