2.63E-10,1.65E-01,2.40E-10,2.89E-10
7.96E-10,1.92E-01,1.92E-01,1.53E-09
4.13E-09,2.23E-01,3.16E-10,7.93E-09
2.82E-08,2.58E-01,2.64E-09,5.42E-08
1.80E-07,3.01E-01,2.09E-08,3.38E-07
7.51E-07,3.50E-01,1.09E-07,1.3832E-06
1.90E-06,4.05E-01,3.26E-07,3.39148E-06
4.03E-06,4.74E-01,8.75E-07,6.92475E-06
8.40E-06,5.48E-01,2.31E-06,1.44002E-05
1.44E-05,6.32E-01,4.89E-06,2.44845E-05
2.11E-05,7.43E-01,8.63E-06,3.40388E-05
2.52E-05,8.57E-01,1.18E-05,4.01344E-05
2.83E-05,9.97E-01,1.47E-05,4.3183E-05
3.45E-05,1.15E+00,1.93E-05,4.99926E-05
4.55E-05,1.34E+00,2.68E-05,6.57873E-05
6.93E-05,1.58E+00,4.24E-05,9.48689E-05
1.10E-04,1.83E+00,7.34E-05,0.000147198
1.77E-04,2.10E+00,0.000131889,0.000236907
2.65E-04,2.44E+00,0.000204638,0.000347944
3.06E-04,2.86E+00,0.000236907,0.000388333
2.70E-04,3.32E+00,0.000197282,0.000354371
2.34E-04,3.84E+00,0.000144528,0.000317515
2.14E-04,4.49E+00,0.000103961,0.000329354
2.06E-04,5.18E+00,8.05E-05,0.000341634
2.06E-04,6.05E+00,6.00E-05,0.000347944
2.06E-04,7.05E+00,4.82E-05,0.000360917
2.03E-04,8.17E+00,3.80E-05,0.000367584
2.03E-04,9.56E+00,2.99E-05,0.000374374
