obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2
20251016UTc,2025-10-16T03:01:28.500000,Hot Spot,0.19010171,0.007608278,0.552999,0.011643692
20251016UTc,2025-10-16T03:01:28.500000,Gyre,0.17617588,0.0063188775,0.6232879,0.016458005
20251016UTc,2025-10-16T03:01:28.500000,Cloud Plume,0.20338745,0.015341605,0.6096014,0.029573966
20251016UTc,2025-10-16T03:01:28.500000,Reference,0.13283455,0.0046326932,0.51264864,0.025217341
