obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2
20251017-20251017,2025-10-17T10:10:01,Hot Spot,-0.7312776607026363,0.10516026184816268,0.41903062907074035,0.21184088281473432
20251017-20251017,2025-10-17T10:10:01,Gyre,-0.13433647853535793,0.18876975756076145,-0.21701756504063363,0.2276782138053721
20251017-20251017,2025-10-17T10:10:01,Cloud Plume,0.18535522854326741,0.19377784383770033,-0.5415370676332862,0.052154441712604103
20251017-20251017,2025-10-17T10:10:01,Reference,-0.6656443769097056,0.06852937437944324,0.870074461113996,0.10989978291907582
