obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2
20251016UTc,2025-10-16T03:01:28.500000,Hot Spot,-0.33749038,0.1288561,0.5070221017281277,0.16529831343102144
20251016UTc,2025-10-16T03:01:28.500000,Gyre,0.16745289,0.11076254,0.3214790452980485,0.10835107744299097
20251016UTc,2025-10-16T03:01:28.500000,Cloud Plume,0.08118439,0.23734467,0.31139087397839416,0.1987482250539907
20251016UTc,2025-10-16T03:01:28.500000,Reference,-0.036346257,0.1762628,0.31840318294740383,0.12241400351891475
